ID,accuracy,x,y
175,457.0,2676894.0,1244182.0
176,185.249414,2681353.0,1244198.0
177,41.641301,2678706.0,1244243.0
178,38.0,2676815.0,1244250.0
179,48.0,2676819.0,1244253.0
180,234.0,2676508.0,1244295.0
181,333.130408,2682187.0,1244321.0
182,301.748542,2677115.0,1244322.0
183,223.0,2690881.0,1244368.0
184,477.907324,2680384.0,1244374.0
185,301.748542,2677358.0,1244404.0
186,301.748529,2678016.0,1244511.0
187,78.0,2687170.0,1244520.0
188,317.323266,2679378.0,1244520.0
189,190.29215,2687678.0,1244531.0
190,455.970321,2687601.0,1244535.0
191,38.0,2674373.0,1244566.0
192,36.0,2687608.0,1244574.0
193,223.811869,2687573.0,1244628.0
194,470.231602,2679538.0,1244632.0
195,170.344935,2690808.0,1244645.0
196,357.0,2676861.0,1244667.0
197,194.0,2676884.0,1244671.0
198,171.220679,2676919.0,1244682.0
199,257.492053,2676851.0,1244685.0
200,471.0,2680538.0,1244694.0
201,178.210187,2687208.0,1244719.0
202,301.748542,2682087.0,1244720.0
203,160.415168,2687194.0,1244731.0
204,72.449677,2690835.0,1244741.0
205,301.748542,2690810.0,1244742.0
206,472.516121,2680748.0,1244796.0
207,311.0,2680554.0,1244816.0
208,301.748542,2679547.0,1244833.0
209,52.203695,2686843.0,1244868.0
210,420.097602,2679576.0,1244872.0
211,420.097602,2679576.0,1244872.0
212,420.097602,2679576.0,1244872.0
213,420.097602,2679576.0,1244872.0
214,420.097602,2679576.0,1244872.0
215,348.214497,2679786.0,1244874.0
216,301.748542,2686658.0,1244887.0
217,260.161047,2681213.0,1244919.0
218,301.748542,2689795.0,1244930.0
219,149.0,2675656.0,1244932.0
220,67.0,2675671.0,1244942.0
221,333.130408,2680558.0,1244943.0
222,7.0,2675671.0,1244946.0
223,170.691064,2679258.0,1244956.0
224,257.492053,2679786.0,1244974.0
225,301.748542,2675600.0,1244989.0
226,20.508959,2677678.0,1244992.0
227,213.0,2680476.0,1245000.0
228,130.205676,2681327.0,1245009.0
229,333.130408,2680507.0,1245012.0
230,15.0,2679465.0,1245039.0
231,257.492053,2680591.0,1245077.0
232,301.748542,2676106.0,1245102.0
233,323.799357,2680261.0,1245116.0
234,357.984538,2676147.0,1245125.0
235,148.0,2681327.0,1245143.0
236,309.965549,2690176.0,1245194.0
237,301.748542,2675931.0,1245201.0
238,65.0,2681387.0,1245204.0
239,301.748532,2684988.0,1245207.0
240,301.748542,2687274.0,1245253.0
241,334.942823,2679678.0,1245255.0
242,257.492052,2679629.0,1245262.0
243,28.0,2682880.0,1245268.0
244,141.08107,2681544.0,1245285.0
245,309.0,2679667.0,1245298.0
246,374.015014,2680337.0,1245305.0
247,457.025605,2686388.0,1245313.0
248,58.212377,2686483.0,1245321.0
249,77.0,2686377.0,1245327.0
250,188.0,2675149.0,1245332.0
251,289.0,2687076.0,1245387.0
252,457.27318,2679744.0,1245390.0
253,97.083721,2681494.0,1245396.0
254,49.876696,2687298.0,1245398.0
255,135.098241,2686403.0,1245398.0
256,37.133064,2687296.0,1245403.0
257,17.22859,2682877.0,1245407.0
258,43.046923,2687290.0,1245409.0
259,41.616983,2687297.0,1245411.0
260,18.859283,2674916.0,1245417.0
261,301.748542,2686252.0,1245434.0
262,231.516304,2686437.0,1245447.0
263,134.296603,2677534.0,1245450.0
264,62.37037,2687337.0,1245461.0
265,301.748542,2686386.0,1245468.0
266,301.748542,2686234.0,1245468.0
267,206.116798,2681544.0,1245468.0
268,301.748542,2687798.0,1245474.0
269,257.492052,2687033.0,1245480.0
270,482.0,2687715.0,1245487.0
271,160.946702,2679506.0,1245487.0
272,16.093252,2677231.0,1245498.0
273,333.130408,2687458.0,1245505.0
274,203.730224,2682830.0,1245505.0
275,257.492053,2686186.0,1245507.0
276,64.373013,2677637.0,1245510.0
277,441.439658,2686516.0,1245524.0
278,15.770917,2691955.0,1245524.0
279,17.144161,2691956.0,1245525.0
280,269.724444,2687476.0,1245526.0
281,447.551081,2679664.0,1245540.0
282,474.0,2681548.0,1245547.0
283,318.0,2681573.0,1245559.0
284,40.249747,2688917.0,1245560.0
285,185.990822,2675726.0,1245564.0
286,301.748542,2688786.0,1245566.0
287,301.748542,2686091.0,1245567.0
288,58.901597,2688876.0,1245570.0
289,253.0,2679560.0,1245582.0
290,265.492678,2679472.0,1245591.0
291,333.130408,2689012.0,1245596.0
292,38.0,2681804.0,1245600.0
293,153.0,2687612.0,1245610.0
294,301.748542,2689262.0,1245634.0
295,491.708114,2685141.0,1245635.0
296,440.635641,2689081.0,1245649.0
297,333.130408,2689079.0,1245651.0
298,17.521604,2691916.0,1245664.0
299,234.464094,2689114.0,1245678.0
300,48.0,2678354.0,1245685.0
301,485.0,2678799.0,1245688.0
302,51.0,2678359.0,1245692.0
303,32.0,2678346.0,1245695.0
304,52.0,2678359.0,1245701.0
305,479.985907,2680074.0,1245704.0
306,250.330712,2689403.0,1245710.0
307,301.748542,2680657.0,1245733.0
308,152.0,2677371.0,1245751.0
309,179.660749,2691388.0,1245761.0
310,163.688003,2689425.0,1245794.0
311,491.429295,2691382.0,1245814.0
312,301.748542,2688210.0,1245824.0
313,181.679075,2676284.0,1245833.0
314,225.971931,2691362.0,1245848.0
315,28.68657,2682656.0,1245863.0
316,19.914187,2682644.0,1245866.0
317,301.748542,2679258.0,1245867.0
318,257.492053,2676243.0,1245869.0
319,301.748542,2689268.0,1245878.0
320,257.492058,2676144.0,1245887.0
321,102.434462,2679357.0,1245892.0
322,55.454246,2676263.0,1245917.0
323,333.130408,2682665.0,1245921.0
324,64.700907,2686187.0,1245924.0
325,147.337487,2688051.0,1245931.0
326,60.453365,2688011.0,1245950.0
327,16.093252,2676985.0,1245954.0
328,301.748542,2682841.0,1245961.0
329,257.492053,2685237.0,1245969.0
330,301.748542,2676991.0,1245979.0
331,301.748542,2687908.0,1246008.0
332,301.748529,2685488.0,1246009.0
333,166.470494,2685176.0,1246009.0
334,288.034058,2687888.0,1246014.0
335,333.130408,2682595.0,1246020.0
336,287.922368,2686880.0,1246021.0
337,442.894264,2677860.0,1246024.0
338,55.318252,2682515.0,1246031.0
339,42.0,2678497.0,1246033.0
340,183.463112,2685582.0,1246038.0
341,96.46933,2682463.0,1246046.0
342,74.0,2674798.0,1246066.0
343,34.0,2674773.0,1246080.0
344,28.0,2674752.0,1246082.0
345,13.217779,2685564.0,1246096.0
346,43.0,2679221.0,1246122.0
347,57.0,2691817.0,1246183.0
348,301.748542,2685509.0,1246192.0
349,165.57253,2675852.0,1246207.0
350,301.748529,2679487.0,1246210.0
351,103.343246,2685850.0,1246217.0
352,62.747567,2681103.0,1246225.0
353,62.65726,2691803.0,1246232.0
354,319.0,2690797.0,1246243.0
355,257.492052,2687371.0,1246256.0
356,81.868061,2691796.0,1246262.0
357,257.492052,2685924.0,1246266.0
358,409.056707,2676314.0,1246285.0
359,72.830265,2679821.0,1246297.0
360,196.260643,2679729.0,1246302.0
361,424.0,2690544.0,1246308.0
362,349.0,2685875.0,1246344.0
363,257.492052,2686012.0,1246387.0
364,437.0,2686495.0,1246395.0
365,22.220929,2677872.0,1246436.0
366,420.725682,2686052.0,1246439.0
367,104.0,2679710.0,1246440.0
368,72.688036,2685894.0,1246450.0
369,125.567456,2678033.0,1246453.0
370,257.492053,2685975.0,1246455.0
371,67.934464,2677387.0,1246463.0
372,56.0,2679458.0,1246474.0
373,32.0,2677608.0,1246498.0
374,40.741975,2673779.0,1246500.0
375,40.741975,2673779.0,1246500.0
376,301.748529,2678120.0,1246513.0
377,376.861965,2686207.0,1246516.0
378,417.177974,2686124.0,1246517.0
379,18.71312,2685826.0,1246521.0
380,303.473502,2686012.0,1246540.0
381,351.049578,2686235.0,1246544.0
382,283.040708,2685958.0,1246572.0
383,257.492052,2687229.0,1246583.0
384,301.748542,2687221.0,1246583.0
385,257.492052,2687224.0,1246585.0
386,301.748542,2687190.0,1246588.0
387,308.990552,2679315.0,1246588.0
388,333.130408,2687215.0,1246590.0
389,301.748542,2687210.0,1246594.0
